school_name,school_type,address,homepage
명덕외국어고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,http://www.mdfh.or.kr
명일여자고등학교,고등학교,서울특별시 강동구 명일로 350,http://www.myungil.hs.kr
명지고등학교,고등학교,서울특별시 서대문구 명지2길 56,http://www.myongjigo.net/
목동고등학교,고등학교,서울특별시 양천구 목동동로2길 68,https://mokdong.sen.hs.kr/
무학여자고등학교,고등학교,서울특별시 성동구 고산자로 197,http://www.muhak.hs.kr
문일고등학교,고등학교,서울특별시 금천구 시흥대로47길 45,http://moonil.hs.kr
문정고등학교,고등학교,서울특별시 송파구 송이로34길 62,http://mj.sen.hs.kr
문현고등학교,고등학교,서울특별시 송파구 충민로 115,http://munhyeon.sen.hs.kr
미래산업과학고등학교,고등학교,서울특별시 노원구 덕릉로82길 54,http://www.mist.hs.kr
미림마이스터고등학교,고등학교,서울특별시 관악구 호암로 546,http://www.e-mirim.hs.kr
미림여자고등학교,고등학교,서울특별시 관악구 호암로 546,http://www.mirim.hs.kr
반포고등학교,고등학교,서울특별시 서초구 고무래로 71,http://banpo.sen.hs.kr
방산고등학교,고등학교,서울특별시 송파구 오금로27길 18,http://bangsan.sen.hs.kr
배명고등학교,고등학교,서울특별시 송파구 삼학사로 11,http://www.bm.hs.kr
배문고등학교,고등학교,서울특별시 용산구 효창원로 258,http://www.baemoon.hs.kr
배재고등학교,고등학교,서울특별시 강동구 고덕로 227,www.paichai.hs.kr
배화여자고등학교,고등학교,서울특별시 종로구 필운대로1길 34,http://paiwha.sen.hs.kr/
백암고등학교,고등학교,서울특별시 양천구 신정로13길 16,http://baegam.sen.hs.kr
보성고등학교,고등학교,서울특별시 송파구 양재대로 1278,http://posung.sen.hs.kr
보성여자고등학교,고등학교,서울특별시 용산구 신흥로3가길 66,http://www.bosung.hs.kr
보인고등학교,고등학교,서울특별시 송파구 오금로49길 18,http://www.boin.hs.kr
불암고등학교,고등학교,서울특별시 노원구 중계로 155,http://www.buram.hs.kr
삼각산고등학교,고등학교,서울특별시 강북구 삼양로19길 40,http://samgaksan.hs.kr
삼성고등학교,고등학교,서울특별시 관악구 신림로 41,http://www.samsung.hs.kr
상계고등학교,고등학교,서울특별시 노원구 노해로 432,http://sanggye.sen.hs.kr
상명고등학교,고등학교,서울특별시 노원구 덕릉로 553,http://www.sangmyung.hs.kr
상명대학교사범대학부속여자고등학교,고등학교,서울특별시 종로구 홍지문2길 20,http://sangmyung-agh.hs.kr
상문고등학교,고등학교,서울특별시 서초구 명달로 45,http://www.sangmoon.hs.kr
상암고등학교,고등학교,서울특별시 마포구 월드컵북로 445,http://www.sangam.hs.kr
상일미디어고등학교,고등학교,서울특별시 강동구 천호대로219길 61,http://www.sangilmedia.hs.kr
상일여자고등학교,고등학교,서울특별시 강동구 천호대로219길 61,http://sangil.hs.kr
서라벌고등학교,고등학교,서울특별시 노원구 한글비석로5길 18,http://sorabol.sen.hs.kr
서문여자고등학교,고등학교,서울특별시 서초구 동광로12길 84,http://suhmoon.sen.hs.kr
서서울생활과학고등학교,고등학교,서울특별시 구로구 오리로 1355-10,http://ssls.sen.hs.kr
