built_year,officetel_name,trade_price,contract_date,net_leasable_area,address,legal_code,floor,ward,price_per_area
2020,고덕역 효성해링턴 타워 더퍼스트,19400,20231102,19.5083,서울특별시 강동구 명일동,1174010100,14,강동구,994.4485167851633
2018,고덕역 갑을명가시티 오피스텔,13650,20230130,19.63,서울특별시 강동구 명일동,1174010100,5,강동구,695.364238410596
2020,거산 유팰리스,23740,20230103,16.56,서울특별시 강동구 길동,1174010500,17,강동구,1433.5748792270533
2020,거산 유팰리스,32420,20230103,29.31,서울특별시 강동구 길동,1174010500,16,강동구,1106.1071306721255
2013,강동 큐브 2차,10000,20230105,19.61,서울특별시 강동구 길동,1174010500,3,강동구,509.94390617032127
2020,거산 유팰리스,20916,20230105,16.56,서울특별시 강동구 길동,1174010500,12,강동구,1263.0434782608697
2012,길동청광플러스원큐브1차,11000,20231106,20.45,서울특별시 강동구 길동,1174010500,4,강동구,537.8973105134475
2012,길동청광플러스원큐브1차,11500,20231106,19.925,서울특별시 강동구 길동,1174010500,3,강동구,577.1643663739021
1993,일성하이츠오피스텔,7000,20231108,22.77,서울특별시 강동구 길동,1174010500,12,강동구,307.42204655248133
2003,인택스파크뷰,27800,20231106,45.9,서울특별시 강동구 성내동,1174010800,3,강동구,605.6644880174292
2007,브라운스톤천호,20800,20230130,30.26,서울특별시 강동구 성내동,1174010800,13,강동구,687.3760740251156
2017,다성 이즈빌,22500,20230102,29.01,서울특별시 강동구 천호동,1174010900,2,강동구,775.5946225439503
2015,천호역 한강 푸르지오시티,18800,20230106,25.24,서울특별시 강동구 천호동,1174010900,28,강동구,744.8494453248812
2015,천호역 한강 푸르지오시티,18000,20230107,25.24,서울특별시 강동구 천호동,1174010900,24,강동구,713.1537242472267
2015,천호역 한강 푸르지오시티,18000,20231103,25.06,서울특별시 강동구 천호동,1174010900,19,강동구,718.2761372705507
2015,천호역 한강 푸르지오시티,18300,20231103,25.55,서울특별시 강동구 천호동,1174010900,13,강동구,716.2426614481409
2004,강동역두산위브센티움,15000,20231104,31.43,서울특별시 강동구 천호동,1174010900,15,강동구,477.2510340439071
2015,천호역 한강 푸르지오시티,16100,20231104,25.24,서울특별시 강동구 천호동,1174010900,7,강동구,637.8763866877972
2015,천호역 한강 푸르지오시티,17700,20231104,25.24,서울특별시 강동구 천호동,1174010900,13,강동구,701.2678288431063
1994,힐탑프라자,9500,20230130,20.48,서울특별시 강동구 천호동,1174010900,7,강동구,463.8671875
2013,강일임페리얼타워,10650,20231207,28.66,서울특별시 강동구 강일동,1174011000,8,강동구,371.59804605722263
